,importance
is_premium,0.11091235822091898
subscription_plan_Premium,0.10014254556860293
music_recc_rating,0.0553723897147728
music_Influencial_mood_Sadness or melancholy,0.03653439985974852
fav_pod_genre_Sports,0.026845566792731316
preffered_pod_duration_Longer,0.0261729967362113
fav_music_genre_Rap,0.022057281781858215
"spotify_listening_device_Smartphone, Computer or laptop, Smart speakers or voice assistants",0.020328278261606002
pod_host_preference_Well known individuals,0.017183117890494776
spotify_listening_device_Smartphone,0.01595981579777504
fav_pod_genre_Lifestyle and Health,0.015829274081472885
music_lis_frequency_While Traveling,0.015575839456411902
music_expl_method_Playlists,0.014936705281468182
music_lis_frequency_Workout session,0.014923531302420353
pod_lis_frequency_Several times a week,0.01491534563726067
music_lis_frequency_leisure time,0.01460562866749102
pod_variety_satisfaction_Neutral,0.013366580987869263
pod_variety_satisfaction_Satisfied,0.013336706477990809
pod_lis_frequency_Rarely,0.012611433792545297
preffered_pod_format_Story telling,0.012434960588840084
"music_expl_method_recommendations, Playlists, Radio",0.012341807773465661
fav_music_genre_Melody,0.012217263148448171
music_time_slot_Morning,0.011937348009502854
"spotify_listening_device_Smartphone, Computer or laptop",0.011592690192562715
fav_music_genre_Rock,0.011432447204847812
music_lis_frequency_Study Hours,0.011394390159764725
"music_lis_frequency_While Traveling, leisure time",0.011291069877220856
"music_expl_method_recommendations, Playlists",0.010707268861002256
music_expl_method_recommendations,0.010461433441484203
fav_music_genre_Pop,0.010175929997928072
fav_music_genre_classical,0.010142590982692379
fav_pod_genre_Comedy,0.010121330617273156
music_expl_method_Radio,0.010082304563853606
fav_pod_genre_Health and Fitness,0.010056230364613093
spotify_listening_device_Smart speakers or voice assistants,0.00991167467997364
preffered_pod_format_Educational,0.009541849969319194
music_time_slot_Night,0.009220299060196318
"music_lis_frequency_Office hours, Study Hours, While Traveling, Workout session, leisure time,",0.009187372505958644
pod_host_preference_unknown Podcasters,0.009010910287892023
"spotify_listening_device_Computer or laptop, Smart speakers or voice assistants",0.00841560468173645
preffered_pod_format_No preference / Not applicable,0.008269778086656675
pod_lis_frequency_Once a week,0.008189408520889894
preferred_listening_content_Podcast,0.008179145951919748
preffered_pod_duration_Shorter,0.007830131659323673
